no,iata,airport,city,state,country,lat,long,cnt
168,AEX,Alexandria International,Alexandria,LA,USA,31.32737,-92.54856,168
169,OTH,North Bend Muni,North Bend,OR,USA,43.41714,-124.24603,168
170,SAF,Santa Fe Municipal,Santa Fe,NM,USA,35.61678,-106.08814,168
171,LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614,-121.73321,168
172,SWF,Stewart,Newburgh,NY,USA,41.50409,-74.10484,159
173,CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13864,-78.45286,158
174,VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672,158
175,CWA,Central Wisconsin,Mosinee,WI,USA,44.77762,-89.66678,156
176,IYK,Inyokern,Inyokern,CA,USA,35.65884,-117.82951,146
177,ACV,Arcata,Arcata/Eureka,CA,USA,40.97812,-124.10862,144
178,BQK,Glynco Jetport,Brunswick,GA,USA,31.25903,-81.46631,140
179,LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097,-96.75925,127
180,FWA,Fort Wayne International,Fort Wayne,IN,USA,40.97847,-85.19515,114
181,COD,Yellowstone Regional,Cody,WY,USA,44.52019,-109.0238,112
182,PAH,Barkley Regional,Paducah,KY,USA,37.06083,-88.77375,112
183,SBP,San Luis Obispo Co-McChesney,San Luis Obispo,CA,USA,35.23706,-120.64239,112
184,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,112
185,GTR,Golden Triangle Regional C,olumbus-Starkville-West Point,MS,USA,33.45033,-88.59137,112
186,GCC,Gillette-Campbell County,Gillette,WY,USA,44.3489,-105.53936,112
187,EWN,Craven County Regional,New Bern,NC,USA,35.07297,-77.04294,112
188,AGS,Bush,Augusta,GA,USA,33.36995,-81.9645,112
189,FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659,-94.36744,112
190,TYR,Tyler Pounds,Tyler,TX,USA,32.35414,-95.40239,110
191,HLN,Helena Regional,Helena,MT,USA,46.60682,-111.98275,108
192,GTF,Great Falls Intl,Great Falls,MT,USA,47.482,-111.37069,108
193,MEI,Key,Meridian,MS,USA,32.33313,-88.75121,104
194,MQT,Marquette County Airport,,,USA,46.35364,-87.39536,104
195,TEX,Telluride Regional,Telluride,CO,USA,37.95376,-107.90848,104
196,CHA,Lovell,Chattanooga,TN,USA,35.03527,-85.20379,104
197,LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.3745,-117.01539,102
198,CDC,Cedar City Muni,Cedar City,UT,USA,37.70097,-113.09857,96
199,ALB,Albany Cty,Albany,NY,USA,42.74812,-73.80298,93
200,BTV,Burlington International,Burlington,VT,USA,44.473,-73.15031,91
201,FCA,Glacier Park Intl,Kalispell,MT,USA,48.3114,-114.25507,90
202,MLB,Melbourne International,Melbourne,FL,USA,28.10275,-80.64581,74
203,DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17992,-81.05806,72
204,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236,-75.4404,60
205,DLH,Duluth International,Duluth,MN,USA,46.84209,-92.19365,58
206,CYS,Cheyenne,Cheyenne,WY,USA,41.15572,-104.81184,56
207,RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.59422,-109.06519,56
208,LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85831,-80.39947,56
209,CRW,Yeager,Charleston,WV,USA,38.37315,-81.59319,56
210,BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.53753,56
211,MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62405,-118.83777,56
212,ATW,Outagamie County Regional,Appleton,WI,USA,44.25741,-88.51948,56
213,BKG,Branson Airport,Hollister,MO,USA,36.38591,-92.54883,56
214,PIE S,t. Petersburg-Clearwater International,St. Petersburg,FL,USA,27.91076,-82.68744,52
215,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.9888,-98.49189,50
216,FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147,-78.88,50
217,EAU,Chippewa Valley Regional,Eau Claire,WI,USA,44.86526,-91.48507,48
218,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40296,-90.70917,48
219,RST,Rochester International,Rochester,MN,USA,43.90883,-92.49799,37
220,UTM,Tunica Municipal Airport,Tunica,MS,USA,34.6815,-90.34882,32
221,BIL,Billings Logan Intl,Billings,MT,USA,45.80766,-108.54286,23
